,Title,Lyrics
0,The Queen is Dead,oh! take me back to dear old blighty
1,The Queen is Dead,put me on the train for london town
2,The Queen is Dead,take me anywhere
3,The Queen is Dead,"drop me anywhere, liverpool, leeds or birmingham"
4,The Queen is Dead,"but i don't care, i should like to see"
5,The Queen is Dead,i don't bless them
6,The Queen is Dead,farewell to this land's cheerless marshes
7,The Queen is Dead,hemmed in like a boar between archers
8,The Queen is Dead,her very lowness with her head in a sling
9,The Queen is Dead,i'm truly sorry but it sounds like a wonderful thing
10,The Queen is Dead,"i say charles don't you ever crave, to appear on the front of the daily mail, dressed in your mother's bridal veil?"
11,The Queen is Dead,and so i checked all the registered historical facts
12,The Queen is Dead,"and i was shocked into shame to discover, how i'm the 18th pale descendent, of some old queen or other"
13,The Queen is Dead,"oh has the world changed, or have i changed?"
14,The Queen is Dead,some nine year old tough who peddles drugs
15,The Queen is Dead,"i swear to god, i swear i never even knew what drugs were"
16,The Queen is Dead,"so i broke into the palace, with a sponge and a rusty spanner"
17,The Queen is Dead,"she said: ""eh, i know you, and you cannot sing”, i said: ""that's nothing - you should hear me play piano”"
18,The Queen is Dead,"we can go for a walk where it's quiet and dry, and talk about precious things"
19,The Queen is Dead,"but when you are tied to your mother's apron, no-one talks about castration"
20,The Queen is Dead,"we can go for a walk where it's quiet and dry, and talk about precious things, like love and law and poverty"
21,The Queen is Dead,(these are the things that kill me)
22,The Queen is Dead,but the rain that flattens my hair (these are the things that kill me)
23,The Queen is Dead,"all their lies about makeup and long hair, are still there"
24,The Queen is Dead,"past the pub that saps your body, and the church who'll snatch your money"
25,The Queen is Dead,"the queen is dead, boys"
26,The Queen is Dead,and it's so lonely on a limb
27,The Queen is Dead,"pass the pub that wrecks your body, and the church, all they want is your money"
28,The Queen is Dead,"the queen is dead, boys, and it's so lonely on a limb"
29,The Queen is Dead,"life is very long, when you're lonely"
30,"Frankly, Mr Shankly","frankly, mr. shankly, this position i've held, it pays my way, and it corrodes my soul"
31,"Frankly, Mr Shankly","i want to leave, you will not miss me"
32,"Frankly, Mr Shankly",i want to go down in musical history
33,"Frankly, Mr Shankly","frankly, mr. shankly, i'm a sickening wreck"
34,"Frankly, Mr Shankly",i've got the twenty-first century breathing down my neck
35,"Frankly, Mr Shankly","i must move fast, you understand me"
36,"Frankly, Mr Shankly","i want to go down in celluloid history, mr. shankly"
37,"Frankly, Mr Shankly","fame, fame, fatal fame"
38,"Frankly, Mr Shankly","fatal fame, it can play hideous tricks on the brain"
39,"Frankly, Mr Shankly","but still i'd rather be famous, than righteous or holy, any day, any day, any day"
40,"Frankly, Mr Shankly","but sometimes i'd feel more fulfilled, making christmas cards with the mentally ill"
41,"Frankly, Mr Shankly",i want to live and i want to love
42,"Frankly, Mr Shankly",i want to catch something that i might be ashamed of
43,"Frankly, Mr Shankly","oh, i didn't realise that you wrote poetry"
44,"Frankly, Mr Shankly","i didn't realise you wrote such bloody awful poetry, mr. shankly"
45,"Frankly, Mr Shankly","frankly, mr. shankly, since you ask, you are a flatulent pain in the arse"
46,"Frankly, Mr Shankly","i do not mean to be so rude, still, i must speak frankly, mr. shankly"
47,"Frankly, Mr Shankly","oh, give us your money!"
48,I Know It’s Over,"oh mother, i can feel the soil falling over my head"
49,I Know It’s Over,"and as i climb into an empty bed, oh well, enough said"
50,I Know It’s Over,i know it's over - still i cling
51,I Know It’s Over,i don't know where else i can go
52,I Know It’s Over,"see, the sea wants to take me, the knife wants to slit me, do you think you can help me?"
53,I Know It’s Over,"sad veiled bride, please be happy, handsome groom, give her room"
54,I Know It’s Over,"loud, loutish lover, treat her kindly, though she needs you more than she loves you"
55,I Know It’s Over,"i know it's over, and it never really began"
